publicadores,mensagens,algoritmo,brokers,vazao_publisher,vazao_subscriber,latencia_media,perc_entregues
15,3000,RoundRobin,2,5625.0,74987.25555555556,336.8991,99.98300740740741
15,3000,RoundRobin,3,5000.0,75000.0,12.3414,100.0
15,3000,Random,1,5232.558139534884,78484.52325581395,11.0994,99.9950962962963
15,3000,Random,2,4787.234042553191,64285.5619047619,475.2572,99.99976296296296
15,3000,Random,3,4128.440366972477,60810.81081081081,156.7366,100.0
15,3000,LeastConn,1,5232.558139534884,78486.32558139534,12.4858,99.9973925925926
15,3000,LeastConn,2,4891.304347826087,65533.44660194175,452.4348999999999,99.99918518518518
15,3000,LeastConn,3,4500.0,67500.0,12.3285,100.0
15,3000,First,1,5625.0,84374.4375,10.2627,99.99933333333334
15,3000,First,2,5625.0,84370.5625,10.6122,99.99474074074075
15,3000,First,3,5625.0,84364.15,10.7274,99.98714074074074
15,4000,RoundRobin,1,6000.0,89993.61,8.1506,99.99289999999999
15,4000,RoundRobin,2,5769.23076923077,76922.1452991453,481.2214,99.99878888888888
15,4000,RoundRobin,3,5000.0,75000.0,12.0197,100.0
15,4000,Random,1,5405.405405405405,81063.45945945945,8.738800000000001,99.97826666666666
15,4000,Random,2,4918.032786885246,66176.4705882353,644.5795,100.0
15,4000,Random,3,4255.31914893617,63829.78723404255,83.26259999999999,100.0
15,4000,LeastConn,1,5454.545454545455,81817.65454545454,7.806900000000001,99.99935555555555
15,4000,LeastConn,2,5172.413793103448,69230.76923076923,606.5930999999999,100.0
15,4000,LeastConn,3,4285.714285714285,64285.71428571428,11.6563,100.0
15,4000,First,1,5454.545454545455,81796.91818181818,8.4041,99.97401111111112
15,4000,First,2,5454.545454545455,81808.81818181818,8.305700000000002,99.98855555555555
15,4000,First,3,5454.545454545455,81818.18181818182,8.7488,100.0
15,5000,RoundRobin,1,6302.521008403362,94516.64705882352,7.306899999999999,99.97760888888888
15,5000,RoundRobin,2,5859.375,80356.88571428572,625.9046,99.99968
15,5000,RoundRobin,3,5000.0,75000.0,11.1471,100.0
15,5000,Random,1,5514.705882352941,82717.2205882353,7.025999999999999,99.99592888888888
15,5000,Random,2,5208.333333333333,68506.09937888199,874.2551000000001,98.03984
15,5000,Random,3,4385.964912280701,65789.47368421052,56.28929999999999,100.0
15,5000,LeastConn,1,5395.683453237411,80929.77697841727,8.296,99.99323555555557
15,5000,LeastConn,2,5172.413793103448,68181.01212121212,749.5772000000001,99.99881777777777
15,5000,LeastConn,3,4310.344827586207,64655.1724137931,11.0545,100.0
15,5000,First,1,5769.23076923077,86523.19230769231,7.189,99.98235555555556
15,5000,First,2,5725.190839694656,85875.16030534351,7.303900000000001,99.99685333333333
15,5000,First,3,5769.23076923077,84111.87692307692,8.1579,97.19594666666667
20,1000,RoundRobin,1,5000.0,99704.45,29.4839,99.70445
20,1000,RoundRobin,2,5000.0,79877.6,473.7884,99.84700000000001
20,1000,RoundRobin,3,4000.0,79762.16,140.6646,99.70270000000001
20,1000,LeastConn,1,4000.0,79728.84,31.408,99.66105
20,1000,LeastConn,2,4081.632653061225,63484.52380952381,543.6205,99.988125
20,1000,LeastConn,3,3174.603174603174,63492.06349206349,117.92,100.0
20,1000,First,1,4000.0,79361.74,33.6862,99.20217499999998
20,1000,First,2,4000.0,79900.46,31.3792,99.875575
20,1000,First,3,4000.0,79781.56,32.7332,99.72694999999999
20,2000,RoundRobin,1,5000.0,99749.725,18.3462,99.749725
20,2000,RoundRobin,2,5714.285714285715,85037.01063829787,1030.0446,99.9184875
20,2000,RoundRobin,3,4444.444444444444,87907.74725274726,230.2327,99.99506249999999
20,2000,LeastConn,1,4494.38202247191,89368.59550561798,21.2357,99.4225625
20,2000,LeastConn,2,4494.38202247191,67714.55084745762,1169.2646,99.8789625
20,2000,LeastConn,3,3389.830508474576,65567.0737704918,304.4473,99.9897875
20,2000,First,1,4444.444444444444,88596.44444444444,18.2411,99.671
20,2000,First,2,4444.444444444444,88770.5,18.0034,99.8668125
20,2000,First,3,4444.444444444444,88820.72222222222,17.245,99.9233125
20,3000,RoundRobin,1,5454.545454545455,108796.6,12.7487,99.73021666666666
20,3000,RoundRobin,2,6000.0,86924.53623188406,1515.5202,99.96321666666668
20,3000,RoundRobin,3,4511.278195488721,85708.61428571428,399.3684,99.99338333333333
20,3000,Random,1,4316.546762589928,86168.65467625899,15.5764,99.812025
20,3000,Random,2,5000.0,75237.23809523809,1334.2142,92.16561666666666
20,3000,Random,3,3658.536585365854,70588.23529411765,609.1743,100.0
20,3000,LeastConn,1,4687.5,93646.078125,13.1388,99.88915
20,3000,LeastConn,2,5172.413793103448,77659.86928104576,1597.9645,99.01633333333334
20,3000,LeastConn,3,4000.0,80000.0,279.4974,100.0
20,3000,First,1,4615.384615384615,92216.46923076923,13.3138,99.901175
20,3000,First,2,4615.384615384615,92181.86923076923,13.7335,99.86369166666665
20,3000,First,3,4687.5,93626.0859375,12.902,99.86782500000001
20,4000,RoundRobin,1,5594.405594405594,111822.4825174825,10.2693,99.94134375000002
20,4000,RoundRobin,2,6015.037593984963,86826.57575757576,1625.6117,89.53990624999999
20,4000,RoundRobin,3,4624.277456647399,88397.79005524862,520.1111,100.0
20,4000,Random,1,4733.727810650887,94582.58579881657,10.7397,99.90285624999999
20,4000,Random,2,5228.75816993464,78637.91620111732,1547.9488,87.97616875
20,4000,Random,3,4081.632653061225,75947.20588235294,934.2103,96.83268749999999
20,4000,LeastConn,1,4102.564102564103,82010.56923076924,12.2991,99.95038124999999
20,4000,LeastConn,2,4166.666666666667,64528.64545454545,1720.1811,88.7268875
20,4000,LeastConn,3,3100.775193798449,61067.58778625954,492.2907,99.998175
20,4000,First,1,4819.277108433735,96280.18072289157,11.1248,99.89068749999998
20,4000,First,2,4848.484848484848,96843.94545454545,10.6809,99.87031875
20,4000,First,3,4705.882352941177,94014.70588235294,10.8677,99.89062500000001
20,5000,RoundRobin,1,5555.555555555556,111050.1611111111,8.542900000000001,99.945145
20,5000,RoundRobin,2,5780.346820809248,86426.10256410256,1485.8618,84.26545000000002
20,5000,RoundRobin,3,4651.162790697675,90086.7927927928,689.7114999999999,99.99634
20,5000,Random,1,4545.454545454545,90844.61818181818,10.2205,99.92908
20,5000,Random,2,4854.368932038835,75238.84782608696,1645.4204,86.524675
20,5000,Random,3,3937.007874015748,74212.36121673005,901.6537000000001,97.589255
20,5000,LeastConn,1,4739.336492890995,94700.91943127962,10.0729,99.90947
20,5000,LeastConn,2,5076.142131979695,77088.67713004485,1936.503,85.953875
20,5000,LeastConn,3,3816.793893129771,74902.3595505618,572.2319,99.99465000000001
20,5000,First,1,4878.048780487805,97485.34634146342,9.3125,99.92248000000001
20,5000,First,2,4901.960784313726,97927.11764705883,9.058,99.88566
20,5000,First,3,4830.917874396136,96587.56521739131,9.094,99.96813
25,1000,RoundRobin,1,4166.666666666667,103554.8333333333,32.4077,99.41264
25,1000,RoundRobin,2,5000.0,89200.9,1006.1004,99.90500800000001
25,1000,RoundRobin,3,4166.666666666667,89260.5,536.0503000000001,99.97175999999999
25,1000,LeastConn,1,3378.378378378378,83838.2027027027,36.6603,99.26443199999999
25,1000,LeastConn,2,5000.0,77840.3,1040.7567,99.63558400000001
25,1000,LeastConn,3,3333.333333333333,70974.65909090909,564.512,99.93232
25,1000,First,1,3571.428571428572,88642.32857142857,33.33059999999999,99.27940799999999
25,1000,First,2,3571.428571428572,88876.25714285714,32.7263,99.54140800000002
25,1000,First,3,3571.428571428572,88628.9,33.274,99.26436799999999
25,2000,RoundRobin,1,4716.981132075472,117606.7924528302,17.6209,99.73056
25,2000,RoundRobin,2,5555.555555555556,89421.15037593985,1849.2,95.144104
25,2000,RoundRobin,3,4672.897196261682,94197.86363636363,1202.263,99.472944
25,2000,LeastConn,1,4065.040650406504,101468.756097561,18.3695,99.84525599999998
25,2000,LeastConn,2,4347.826086956522,73278.43137254902,1866.5783,89.6928
25,2000,LeastConn,3,3875.968992248062,78491.82278481012,1203.9513,99.213664
25,2000,First,1,4166.666666666667,103772.0916666667,18.7586,99.621208
25,2000,First,2,3937.007874015748,98229.59842519685,18.7709,99.801272
25,2000,First,3,4132.231404958678,102984.3223140496,19.3149,99.688824
25,3000,RoundRobin,1,4716.981132075472,117676.6289308176,14.1381,99.78978133333334
25,3000,RoundRobin,2,5725.190839694656,91103.44171779141,1664.9545,79.19925866666668
25,3000,RoundRobin,3,4658.385093167702,95488.57068062827,1638.4098,97.27102399999998
25,3000,Random,1,4076.086956521739,101807.1304347826,16.2835,99.90673066666666
25,3000,Random,2,4491.017964071856,76825.49253731343,2019.6769,82.35692800000001
25,3000,Random,3,4120.879120879121,84407.35238095238,1488.1255,94.53623466666666
25,3000,LeastConn,1,4076.086956521739,101734.7554347826,14.4774,99.83570666666667
25,3000,LeastConn,2,4120.879120879121,71614.31775700934,2149.3343,81.73580799999999
25,3000,LeastConn,3,4143.646408839779,87785.97142857143,1358.938,98.320288
25,3000,First,1,4166.666666666667,103906.95,13.5319,99.750672
25,3000,First,2,4166.666666666667,103920.6944444444,14.0907,99.76386666666667
25,3000,First,3,4143.646408839779,103335.729281768,13.866,99.75342400000001
25,4000,RoundRobin,1,4950.495049504951,123550.1089108911,11.282,99.828488
25,4000,RoundRobin,2,5681.818181818182,96406.50710900474,1812.3604,81.36709199999999
25,4000,RoundRobin,3,4784.688995215311,95115.83193277312,1992.3465,90.550272
25,4000,Random,1,4048.582995951417,100974.6842105263,12.3409,99.76298799999999
25,4000,Random,2,4761.904761904761,84100.10460251046,1903.1279,80.39970000000001
25,4000,Random,3,3257.328990228013,69598.60923076923,1891.1256,90.47819199999999
25,4000,LeastConn,1,4255.31914893617,106243.4893617021,11.446,99.86887999999999
25,4000,LeastConn,2,4048.582995951417,70146.37543859649,2001.9771,79.966868
25,4000,LeastConn,3,3508.771929824562,74072.8474025974,1817.1701,91.257748
25,4000,First,1,4237.28813559322,105773.4322033898,11.7077,99.85011999999999
25,4000,First,2,4201.680672268908,104870.5420168067,10.9495,99.836756
25,4000,First,3,4219.409282700421,105276.5358649789,11.6867,99.802156
25,5000,RoundRobin,1,4826.254826254826,120449.2664092664,9.815299999999999,99.82835200000001
25,5000,RoundRobin,2,5656.108597285068,93310.53703703704,2210.3724,80.620304
25,5000,RoundRobin,3,4789.272030651341,96583.48070175438,2079.5255,88.08413440000001
25,5000,Random,1,3869.969040247678,96631.56346749226,11.2216,99.87838400000001
25,5000,Random,2,4512.635379061372,78863.53525641025,2058.4429,78.7373536
25,5000,Random,3,3869.969040247678,83393.45427728613,1691.4947,90.4652192
25,5000,LeastConn,1,4280.821917808219,106741.4931506849,11.318,99.7392512
25,5000,LeastConn,2,5060.728744939272,85819.25631768953,1698.3874,76.07018880000001
25,5000,LeastConn,3,4237.28813559322,89548.73208722741,1855.0331,91.9844576
25,5000,First,1,4295.53264604811,107281.4810996564,10.0667,99.9005152
25,5000,First,2,4166.666666666667,104049.4466666667,10.0081,99.8874688
25,5000,First,3,4266.211604095563,106543.2150170649,10.1903,99.89491840000001
5,1000,RoundRobin,1,5000.0,25000.0,1.19,100.0
5,1000,RoundRobin,2,5000.0,25000.0,1.4536,100.0
5,1000,RoundRobin,3,5000.0,25000.0,1.542,100.0
5,1000,Random,1,5000.0,25000.0,1.1737,100.0
5,1000,Random,2,5000.0,25000.0,1.4289,100.0
5,1000,Random,3,3125.0,15625.0,1.5943,100.0
5,1000,LeastConn,1,3125.0,15625.0,1.6776,100.0
5,1000,LeastConn,2,5000.0,25000.0,1.4025,100.0
5,1000,LeastConn,3,2941.176470588235,14705.88235294118,1.5755,100.0
5,1000,First,1,4166.666666666667,20833.33333333333,1.2032,100.0
5,1000,First,2,4166.666666666667,20833.33333333333,1.1818,100.0
5,1000,First,3,3846.153846153846,19230.76923076923,1.3147,100.0
5,2000,RoundRobin,1,5000.0,25000.0,1.0283,100.0
5,2000,RoundRobin,2,5000.0,25000.0,1.2835,100.0
5,2000,RoundRobin,3,5000.0,25000.0,1.3829,100.0
5,2000,Random,1,5000.0,25000.0,0.9164999999999999,100.0
5,2000,Random,2,5000.0,25000.0,1.3165,100.0
5,2000,Random,3,5000.0,25000.0,1.4753,100.0
5,2000,LeastConn,1,5000.0,25000.0,0.9456000000000001,100.0
5,2000,LeastConn,2,5000.0,25000.0,1.2562,100.0
5,2000,LeastConn,3,5000.0,25000.0,1.4323,100.0
5,2000,First,1,4761.904761904761,23809.52380952381,1.0092,100.0
5,2000,First,2,5000.0,25000.0,0.9528000000000001,100.0
5,2000,First,3,5000.0,25000.0,0.9113,100.0
5,3000,RoundRobin,1,5172.413793103448,25862.06896551724,0.8499000000000001,100.0
5,3000,RoundRobin,2,5000.0,25000.0,1.175,100.0
5,3000,RoundRobin,3,5000.0,25000.0,1.3004,100.0
5,3000,Random,1,5000.0,25000.0,0.8737,100.0
5,3000,Random,2,5000.0,25000.0,1.5788,100.0
5,3000,Random,3,5000.0,25000.0,1.4083,100.0
5,3000,LeastConn,1,5000.0,25000.0,0.8605,100.0
5,3000,LeastConn,2,5000.0,25000.0,1.2315,100.0
5,3000,LeastConn,3,5000.0,25000.0,1.4065,100.0
5,3000,First,1,5000.0,25000.0,0.8252,100.0
5,3000,First,2,5000.0,25000.0,0.9515999999999998,100.0
5,3000,First,3,5000.0,25000.0,0.8591,100.0
5,4000,RoundRobin,1,6666.666666666667,33333.33333333334,0.8812000000000001,100.0
5,4000,RoundRobin,2,5555.555555555556,27777.77777777778,1.1217,100.0
5,4000,RoundRobin,3,5000.0,25000.0,1.271,100.0
5,4000,Random,1,6666.666666666667,33333.33333333334,0.8107000000000001,100.0
5,4000,Random,2,5000.0,25000.0,1.2715,100.0
5,4000,Random,3,5000.0,25000.0,1.3449,100.0
5,4000,LeastConn,1,5263.157894736843,26315.78947368421,0.9813000000000001,100.0
5,4000,LeastConn,2,5000.0,25000.0,1.1829,100.0
5,4000,LeastConn,3,5000.0,25000.0,1.3786,100.0
5,4000,First,1,6666.666666666667,33333.33333333334,0.8312000000000002,100.0
5,4000,First,2,6666.666666666667,33333.33333333334,0.8426,100.0
5,4000,First,3,6666.666666666667,33333.33333333334,0.8367999999999999,100.0
5,5000,RoundRobin,1,6250.0,31250.0,0.8387,100.0
5,5000,RoundRobin,2,6097.560975609756,30487.80487804878,1.2197,100.0
5,5000,RoundRobin,3,5000.0,25000.0,1.2559,100.0
5,5000,Random,1,6250.0,31250.0,0.8038000000000001,100.0
5,5000,Random,2,5000.0,25000.0,1.1935,100.0
5,5000,Random,3,5000.0,25000.0,1.3735,100.0
5,5000,LeastConn,1,6250.0,31250.0,0.8059000000000001,100.0
5,5000,LeastConn,2,5000.0,25000.0,1.2116,100.0
5,5000,LeastConn,3,5000.0,25000.0,1.3707,100.0
5,5000,First,1,6250.0,31250.0,0.7932000000000001,100.0
5,5000,First,2,6250.0,31250.0,0.8105,100.0
5,5000,First,3,6250.0,31250.0,0.8004,100.0
