publicadores,mensagens,algoritmo,brokers,vazao_publisher,vazao_subscriber,latencia_media,perc_entregues
15,5000,LeastConn,3,5952.380952380952,89218.06349206349,7.681999999999999,99.92423111111111
20,1000,RoundRobin,1,4166.666666666667,82521.39583333333,32.91330000000001,99.025675
20,1000,LeastConn,1,4255.31914893617,84059.53191489361,32.7107,98.76995000000001
20,1000,LeastConn,2,4000.0,79166.66,32.1125,98.958325
20,1000,LeastConn,3,4166.666666666667,82242.02083333333,32.84059999999999,98.69042499999999
20,2000,RoundRobin,1,4395.604395604396,87638.58241758242,19.8547,99.68888749999999
20,2000,RoundRobin,2,4736.842105263157,94277.48684210527,16.60122222222222,99.515125
20,2000,LeastConn,1,5000.0,99511.1375,15.4017,99.5111375
20,2000,LeastConn,2,4819.277108433735,95845.21686746988,17.309,99.43941249999999
20,2000,LeastConn,3,4761.904761904761,94889.73809523809,16.6993,99.634225
20,3000,RoundRobin,1,4444.444444444444,88618.17037037037,12.84,99.69544166666665
20,3000,RoundRobin,2,5000.0,99746.75925925926,11.89577777777778,99.74675925925925
20,3000,RoundRobin,3,4500.0,89508.95283018867,15.088125,99.44535087719298
20,3000,LeastConn,1,5172.413793103448,103125.0,11.5856,99.6875
20,3000,LeastConn,2,4761.904761904761,94890.6507936508,12.2372,99.63518333333333
20,3000,LeastConn,3,4511.278195488721,89997.5112781955,13.6106,99.74724166666667
20,4000,RoundRobin,1,5063.291139240507,101052.2658227848,9.9113,99.78911249999999
20,4000,RoundRobin,2,3546.79802955665,70543.39408866996,17.457,99.44659027777777
20,4000,LeastConn,1,5031.446540880504,100465.5597484277,10.0809,99.83765
20,4000,LeastConn,2,5194.805194805195,103559.0064935065,10.2089,99.67554374999999
20,4000,LeastConn,3,5263.157894736843,105133.6973684211,9.7004,99.8770125
20,5000,RoundRobin,1,4608.294930875576,92020.28571428571,9.221300000000001,99.84200999999999
20,5000,RoundRobin,3,4326.923076923077,86384.71153846153,10.38622222222222,99.82233333333333
20,5000,LeastConn,1,4566.2100456621,91177.59360730594,9.073700000000002,99.83946499999999
20,5000,LeastConn,2,4329.004329004329,86428.89177489177,10.5503,99.82537
20,5000,LeastConn,3,4149.377593360996,82879.85477178423,10.9123,99.87022499999999
25,1000,RoundRobin,1,3472.222222222222,85822.5,35.62439999999999,98.86751999999998
25,1000,RoundRobin,3,4166.666666666667,103106.8518518519,32.07344444444445,98.98257777777778
25,1000,LeastConn,1,3623.188405797101,89638.59420289854,36.7931,98.961008
25,1000,LeastConn,2,3787.878787878788,93898.51515151515,32.9207,99.15683200000001
25,1000,LeastConn,3,3731.343283582089,92205.80597014926,32.0585,98.844624
25,2000,RoundRobin,1,4545.454545454545,112951.5090909091,17.9371,99.39732799999999
25,2000,LeastConn,1,4000.0,99343.152,19.463,99.343152
25,2000,LeastConn,2,4504.504504504504,110955.4594594595,22.8974,98.528448
25,2000,LeastConn,3,4237.28813559322,105153.0593220339,19.5078,99.264488
25,3000,RoundRobin,1,4687.5,116959.4375,12.9003,99.80538666666666
25,3000,RoundRobin,3,4602.739726027397,114318.4520547945,13.46411111111111,99.3366486419753
25,3000,LeastConn,1,4687.5,116826.71875,12.5154,99.69213333333333
25,3000,LeastConn,2,4213.483146067416,104998.2865168539,14.1257,99.67837333333333
25,3000,LeastConn,3,4437.869822485207,110107.775147929,15.5851,99.24380799999999
25,4000,RoundRobin,1,4694.835680751174,117100.6854460094,10.3218,99.769784
25,4000,LeastConn,1,4629.62962962963,115424.2314814815,11.1894,99.726536
25,4000,LeastConn,2,4065.040650406504,101223.5731707317,12.5641,99.60399600000002
25,4000,LeastConn,3,4694.835680751174,117017.7276995305,11.5221,99.69910399999999
25,5000,RoundRobin,1,4664.179104477612,116328.1641791045,9.265,99.7630336
25,5000,RoundRobin,2,5274.261603375528,92117.18587360595,1743.8979,79.29447359999999
25,5000,RoundRobin,3,4340.277777777777,88231.78246753247,1926.1242,86.96124479999999
25,5000,LeastConn,1,4752.851711026616,118483.5893536122,9.772899999999998,99.7157888
25,5000,LeastConn,2,3943.217665615142,98360.12302839117,10.8026,99.77650879999999
25,5000,LeastConn,3,3930.817610062893,98124.54088050315,12.2162,99.8515328
5,1000,RoundRobin,1,3846.153846153846,19230.76923076923,1.179,100.0
5,1000,RoundRobin,2,4545.454545454545,22727.27272727273,1.15,100.0
5,1000,RoundRobin,3,5000.0,25000.0,1.1586,100.0
5,1000,LeastConn,1,5000.0,25000.0,1.1421,100.0
5,1000,LeastConn,2,5000.0,25000.0,1.1721,100.0
5,1000,LeastConn,3,5000.0,25000.0,1.1098,100.0
5,2000,RoundRobin,1,5000.0,25000.0,0.9347,100.0
5,2000,RoundRobin,2,4761.904761904761,23809.52380952381,0.9311,100.0
5,2000,RoundRobin,3,4761.904761904761,23809.52380952381,0.959,100.0
5,2000,LeastConn,1,5000.0,25000.0,0.9621999999999999,100.0
5,2000,LeastConn,2,5000.0,25000.0,0.9114999999999999,100.0
5,2000,LeastConn,3,5000.0,25000.0,0.9250999999999999,100.0
5,3000,RoundRobin,1,5172.413793103448,25862.06896551724,0.8206000000000001,100.0
5,3000,RoundRobin,2,5357.142857142857,26785.71428571429,0.8603,100.0
5,3000,RoundRobin,3,5172.413793103448,25862.06896551724,0.868,100.0
5,3000,LeastConn,1,5357.142857142857,26785.71428571429,0.8811,100.0
5,3000,LeastConn,2,5172.413793103448,25862.06896551724,0.8348999999999999,100.0
5,3000,LeastConn,3,5172.413793103448,25862.06896551724,0.8617000000000001,100.0
5,4000,RoundRobin,1,5714.285714285715,28571.42857142857,0.8544,100.0
5,4000,LeastConn,1,6250.0,31250.0,0.7898,100.0
5,4000,LeastConn,2,6250.0,31250.0,0.8099999999999999,100.0
5,4000,LeastConn,3,5128.205128205128,25641.02564102564,0.943,100.0
5,5000,RoundRobin,1,6410.25641025641,32051.28205128205,0.7796,100.0
5,5000,LeastConn,1,5952.380952380952,29761.90476190476,0.8275,100.0
5,5000,LeastConn,2,6410.25641025641,32051.28205128205,0.7739,100.0
5,5000,LeastConn,3,6410.25641025641,32051.28205128205,0.7997,100.0
